index,x,y,Happiness_Score
0,-3.36469686680376,-3.7277084045335545,7.526
1,-6.348358245742349,-5.0765284578092436,7.508999999999999
2,-5.561878683761229,-2.1614702811167765,7.501
3,-5.267497293697291,-3.962167032714873,7.497999999999998
4,-2.3082918613723002,-3.416911178271385,7.4129999999999985
5,-2.853764712757299,-2.3859777302294947,7.404
6,-2.8851977000290505,-2.6165768095283433,7.338999999999999
7,-3.7345547932787904,-2.8121301764098527,7.334
8,-3.5242268460763544,-2.960289915341977,7.313
9,-2.825595506731107,-3.2083258586612597,7.291
10,-2.63201108412786,-1.0466723879961208,7.267
11,-2.015448528515085,-2.0548594026373777,7.119
12,-1.663241789092397,0.4774625882008005,7.0870000000000015
13,-1.4660969669379393,-1.2925112087326986,7.039
14,-1.7235717545415359,-2.6510705247632096,6.994
15,-0.3035158813889676,0.5348674235436209,6.952000000000001
16,-2.181590730384749,-2.4340930948084067,6.9289999999999985
17,-3.156480030755311,-2.729148223412304,6.907
18,-2.787234663309508,-4.37996434606398,6.871
19,1.831247740733348,1.51997422289513,6.778
20,-2.314526017178168,-5.180020628532289,6.739
21,-2.891830944603272,-2.0440206278339814,6.725
22,-0.13236432541763293,0.34009655471314826,6.705
23,-1.6360797456935796,-0.022873306203673255,6.7010000000000005
24,-0.10544376231160357,-0.33577408696421707,6.65
25,1.0519574499515787,-0.5153877320379097,6.596
26,-1.215023827782453,-3.7764384585366786,6.573
27,-1.1261762563713305,-0.3194772652425632,6.545
28,-3.4810056493859594,-0.42792388755068056,6.488
29,0.9907152972510742,1.8143630732433644,6.481
30,-1.2229547863885366,-2.3640587793729413,6.478
31,-2.2023246123780917,2.407929831111001,6.474
32,0.8155755263616693,-3.4762466749851035,6.379
33,0.008845897945610286,-1.609853568075401,6.379
34,-1.6447974932992524,-5.378132224628433,6.375
35,-0.3056714082360083,-1.1186781521753597,6.3610000000000015
36,3.1318557485757963,0.453500773016243,6.355
37,-0.30569828414663397,1.6031744703322919,6.324
