,x,y,Happiness Score
0,-5.90924041605049,-1.3095827621412337,7.526
1,-1.131183096521568,5.1259555495043045,7.508999999999999
2,5.9819387035208935,-1.5912561046466518,7.501
3,0.888978816755252,-3.5632881151528335,7.497999999999998
4,-0.004275192229416279,5.10421212447518,7.4129999999999985
5,4.159595995395543,-2.214517349066575,7.404
6,1.9241293489316056,3.527291544074578,7.338999999999999
7,4.287521103170577,2.4734476818028135,7.334
8,5.625339127675074,-2.3401474727846217,7.313
9,2.20530561021254,4.979416895891155,7.291
10,-5.125215909321451,-0.317557875778045,7.267
11,-3.668643642596161,-3.5823050688127807,7.119
12,3.707588668937792,2.046651242376066,7.0870000000000015
13,-0.213733462040138,-0.07158933342380694,7.039
14,1.913115541834964,-5.5300412848413645,6.994
15,-6.599822569187071,1.956611036017025,6.952000000000001
16,-2.201628414957333,-1.8317710131878766,6.9289999999999985
17,0.386396859185318,-5.834447999013122,6.907
18,3.557633561427575,-2.540517682860565,6.871
19,-3.7628024383053593,3.7226723371199344,6.778
20,0.33729738262921793,-0.6594990342179468,6.739
21,-0.48396547458917427,2.5454720561917172,6.725
22,0.29506978080905927,-5.203341914471824,6.705
23,0.35523329971973605,-2.280824938859415,6.7010000000000005
24,-3.691526042947445,0.7262675556066099,6.65
25,2.4208065501022373,2.500479881042555,6.596
26,3.7803185538844755,0.6201975460609592,6.573
27,-4.163782844975507,-2.5275235777937053,6.545
28,-4.68041017591733,1.728612551015514,6.488
29,3.389476966914259,-4.282783318261462,6.481
30,-1.8099940393516745,3.3518252789451304,6.478
31,3.256960861967012,0.09689934544426923,6.474
32,-1.0405507550427588,1.7282629678412167,6.379
33,0.8590507817300318,2.0207854271583345,6.379
34,-1.366456038380105,-0.2139498051020283,6.375
35,2.0045950861351822,-3.913583230305974,6.3610000000000015
36,4.006405323488992,1.149279068179723,6.355
37,-6.183929387581944,-2.7556381242126413,6.324
38,-1.6652070151803275,-3.079191071668459,6.239
39,2.5329984826151715,-0.2406532276836437,6.218
40,-3.3426397542941158,1.5899407367243235,6.084
41,2.9205065935229264,1.9651799666328753,6.0779999999999985
42,-2.4917766380325013,-4.781350600783729,6.068
43,-0.8892047328961411,-2.4514876637432605,6.005
44,-0.18187460332684574,3.7378777032872335,5.987
45,6.427630231219906,-3.8705231231145167,5.977
46,4.891080373765652,1.8794873973266568,5.976
47,5.695339254034727,0.07314521799847919,5.921
48,1.8416510962791806,-1.0238093743964753,5.919
49,-3.060462344541739,4.40477439006333,5.897
50,1.270515828946383,5.056378029013232,5.856
51,-1.7580506990705829,5.225918347431515,5.835
52,-3.493702907135944,-4.33858962034093,5.835
53,-4.6489612049552305,-1.523192049388859,5.813
54,0.8808069157946494,4.0430535056794685,5.8020000000000005
55,-2.2076612774754802,2.1735657526379004,5.768
56,-0.4101084063593999,0.40722476251221373,5.7429999999999986
57,5.76437063307013,0.8386004037731685,5.615
58,-2.8830299658965752,0.9783559118746246,5.56
59,-6.97440032864689,0.34731714117074075,5.546
60,1.9791167448481681,0.35987838429096103,5.5379999999999985
61,0.3467753772759307,5.384443360497459,5.528
62,1.243162621427666,-4.549404492629503,5.517
63,0.9006120359935994,-1.5840798217808711,5.51
64,4.965385001713613,-0.6700623879415649,5.488
65,3.1974947408372687,-3.688200618212727,5.457999999999998
66,-2.1965671853851605,-0.48362814585201386,5.3889999999999985
67,0.5606391386039493,1.4637626728262965,5.314
68,-1.2305190308182983,0.6952013080514573,5.303
69,-2.386906423925821,3.3718618050673754,5.291
70,-3.9994755107752145,2.352658100993517,5.279
71,0.1619997379165046,2.7304491794255727,5.245
72,2.0544112093020823,-1.6379282489200027,5.185
73,-1.939807596745866,4.4696108218094865,5.1770000000000005
74,3.2578226025640493,3.899073241081436,5.1610000000000005
75,-1.1282558472475477,-1.8384311835200848,5.155
76,4.041760090614342,-1.4405019329293527,5.151
77,-0.3055186133064428,1.4632933845261655,5.145
78,-0.5989646796856826,-5.398877356410437,5.1320000000000014
79,-3.8156071167985797,3.3642497137149485,5.129
80,-4.995730206227034,-2.9797585755228573,5.122999999999998
81,-1.0735481416492243,2.632655624159035,5.121
82,0.0023785767373431534,-2.8759830901459975,5.061
83,1.8826033546945475,-2.912382032396879,5.045
84,2.833898647742966,1.1035564409013723,5.033
85,-3.097497972208974,-0.6724547660941422,4.907
86,1.5641491289765463,4.010488751990488,4.875
87,-6.25294955809613,-1.6499170390792102,4.813
88,6.403768649809149,1.9520344490553685,4.795
89,3.3626036658388894,3.326504201732036,4.793
90,2.005863748565303,-2.323711038397995,4.655
91,-5.61632269373949,0.8393189891794561,4.643
92,-5.180042582714881,-0.9647626523349105,4.575
93,5.890513747218444,-0.6400872139143188,4.574
94,1.3312485336781859,-0.8460785173216678,4.508
95,-1.9497249804807493,-3.4662881155204577,4.459
96,0.06319537531235195,0.8336653607142457,4.415
97,-0.8215054484075631,-3.4960767192102966,4.404
98,-0.9373491695269892,-4.777798092075582,4.362
99,-2.046527527800608,0.39150963137569345,4.36
100,,,4.356
101,,,4.324
102,,,4.276
103,,,4.252
104,,,4.217
105,,,4.1930000000000005
106,,,3.974
107,,,3.907
108,,,3.866
109,,,3.739
110,,,3.666
111,,,3.515
112,,,3.069
